Country,Region,Development_level,Least_developed_country,Neonatal mortality rate (per 1000 live births),Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Under-five mortality rate (probability of dying by age 5 per 1000 live births),Column1,Column2,Measure 1 - Expanded Coverage of comprehensive prenatal care,Measure  2 - Expanded Coverage of obstetric care,Measure 3 - Expanded Coverage of Essential post-partum and Newborn care,Measure 4 - Expanded access to effective contraception,"Measure 5 - Expanded Access to safe abortion care, including Post-Abortion care",Measure 6 - Expanded Recruitment and Training of Skilled Birth Attendants
,,,,,,Both Genders,Male,Female,,,,,,
Ethiopia,Africa,Less dev. region,Yes,28.9,41,58.5,64.5,52.1,1,1,1,1,1,1
Fiji,Oceania,Less dev. region,No,10.6,21.4,25.3,27.5,23.1,1,1,1,1,1,1
Finland,Europe,More dev. region,No,1.8,1.9,2.3,2.5,2,0,0,0,0,0,0
France,Europe,More dev. region,No,2.4,3.5,4.2,4.6,3.8,0,0,0,0,0,0
Gabon,Africa,Less dev. region,No,21.5,35.1,48.3,52.8,43.5,1,1,1,1,1,1
Gambia,Africa,Less dev. region,Yes,27.6,41.4,63.6,68.4,58.5,1,1,1,1,1,1
Georgia,Asia,Less dev. region,No,6.7,9.7,10.8,12.1,9.5,1,1,1,1,1,0
Germany,Europe,More dev. region,No,2.2,3.1,3.7,4.1,3.4,0,0,0,0,0,0
Ghana,Africa,Less dev. region,No,24.2,35.7,49.3,53.9,44.4,1,1,1,1,1,1
Greece,Europe,More dev. region,No,3,4.3,5.3,5.7,4.9,1,1,1,0,0,0
Grenada,Latin Amer. & Caribbean,Less dev. region,No,10.9,15.3,16.7,18.1,15.3,1,1,1,1,0,1
Guatemala,Latin Amer. & Caribbean,Less dev. region,No,12.9,23.1,27.6,30.4,24.6,1,1,1,1,1,0
Guinea,Africa,Less dev. region,Yes,24.1,56.4,85.7,90.8,80.5,1,1,1,1,1,1
Guinea-Bissau,Africa,Less dev. region,Yes,37.3,55.6,84.2,90.3,77.8,1,1,1,1,1,1
Guyana,Latin Amer. & Caribbean,Less dev. region,No,18.9,26,31.3,35.2,27.2,1,1,1,1,0,1
Haiti,Latin Amer. & Caribbean,Less dev. region,Yes,28.3,53.9,71.7,77.3,65.7,1,1,1,1,0,1
Honduras,Latin Amer. & Caribbean,Less dev. region,No,10,15.6,18.2,20.2,16.1,1,1,1,1,1,1
Hungary,Europe,More dev. region,No,2.4,3.8,4.5,4.9,4.2,0,0,0,0,0,0
Iceland,Europe,More dev. region,No,1,1.6,2.1,2.3,1.9,0,0,0,0,0,0
India,Asia,Less dev. region,No,24,32,39.4,38.5,40.4,1,1,1,1,1,1
Indonesia,Asia,Less dev. region,No,12.4,21.4,25.4,28.3,22.3,1,1,1,1,0,1
Iran (Islamic Republic of),Asia,Less dev. region,No,9.1,12.8,14.9,15.6,14.2,0,0,0,0,0,0
Iraq,Asia,Less dev. region,No,17.1,25.3,30.4,33.3,27.3,1,1,1,1,0,1
Ireland,Europe,More dev. region,No,2.2,3,3.5,3.9,3.2,0,0,0,0,0,0
Israel,Asia,Less dev. region,No,2,2.9,3.6,3.8,3.3,0,0,0,0,0,0
Italy,Europe,More dev. region,No,2,2.9,3.4,3.6,3.1,0,0,0,0,0,0
Jamaica,Latin Amer. & Caribbean,Less dev. region,No,10.8,13.1,15.2,17,13.3,1,1,1,1,0,1
Japan,Asia,More dev. region,No,0.9,1.9,2.6,2.7,2.4,0,0,0,0,0,0
Jordan,Asia,Less dev. region,No,10.1,14.6,17,17.9,16.1,1,1,1,1,1,1
Kazakhstan,Asia,Less dev. region,No,5.3,8.9,10,11.1,8.9,1,1,1,1,0,1
Kenya,Africa,Less dev. region,No,20.9,33.6,45.6,49.5,41.5,1,1,1,1,1,1
Kiribati,Oceania,Less dev. region,Yes,23,42.7,54.6,59.2,49.8,1,1,1,1,0,1
Kuwait,Asia,Less dev. region,No,4.3,6.9,8.1,8.7,7.5,0,0,0,0,0,0
Kyrgyzstan,Asia,Less dev. region,No,10.7,17.9,20,22.2,17.6,1,1,1,1,0,1
Lao People's Democratic Republic,Asia,Less dev. region,Yes,28.2,48.6,63.4,68.9,57.7,1,1,1,1,0,1
Latvia,Europe,More dev. region,No,2.2,3.6,4.2,4.5,3.8,1,1,1,1,1,1
Lebanon,Asia,Less dev. region,No,4.5,6.7,7.8,8.2,7.4,1,1,1,1,1,1
Lesotho,Africa,Less dev. region,Yes,37.9,66.5,85.9,92.7,78.7,1,1,1,1,0,1
Liberia,Africa,Less dev. region,Yes,25.1,55.9,74.7,80.2,69,1,1,1,1,1,1
Libya,Africa,Less dev. region,No,6.5,10.6,12.4,13.6,11.1,0,0,0,0,0,1
Lithuania,Europe,More dev. region,No,2,3.4,4.3,4.6,3.9,0,0,0,0,0,0
